Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State,Year,Month,Quarter,Weekday,Weekend,Donation Category
Faculty Chair Endowments,Wichita,College of Agriculture and Natural Resources,Endowment,8941.0,2015-08-30,Agriculture and Natural Resources-No Preference,1526,KS,2015,August,3,Sunday,Yes,VIP
College of Arts and Sciences,Manchester,College of Arts and Sciences,Scholarship,5988.0,2015-04-22,Arts & Letters-General,1527,NH,2015,April,2,Wednesday,No,VIP
University Annual Fund,Manchester,College of Arts and Sciences,Endowment,5988.0,2015-05-07,Arts & Letters-General,1527,NH,2015,May,2,Thursday,No,VIP
Honors Program,Albuquerque,College of Social Science,Campus Resource,7641.0,2015-09-10,Urban and Regional Planning,1528,NM,2015,September,3,Thursday,No,VIP
College of Music,Albuquerque,College of Social Science,Scholarship,7641.0,2015-02-20,Urban and Regional Planning,1528,NM,2015,February,1,Friday,No,VIP
College of Engineering,Colorado Springs,College of Arts and Sciences,Scholarship,631.0,2015-07-13,Philosophy,1529,CO,2015,July,3,Monday,No,Large
College of Engineering,Colorado Springs,College of Arts and Sciences,Scholarship,631.0,2015-04-05,Philosophy,1529,CO,2015,April,2,Sunday,Yes,Large
Faculty Chair Endowments,Kansas City,College of Agriculture and Natural Resources,Endowment,383.0,2015-03-08,Animal Science,1530,MO,2015,March,1,Sunday,Yes,Medium
College of Arts and Sciences,Kansas City,College of Agriculture and Natural Resources,Scholarship,383.0,2015-08-11,Animal Science,1530,MO,2015,August,3,Tuesday,No,Medium
Faculty Chair Endowments,Indianapolis,College of Arts and Sciences,Endowment,699.0,2015-05-18,Apparel and Textiles,1531,IN,2015,May,2,Monday,No,Large
College of Arts and Sciences,Indianapolis,College of Arts and Sciences,Scholarship,699.0,2015-05-22,Apparel and Textiles,1531,IN,2015,May,2,Friday,No,Large
College of Music,Detroit,College of Arts and Sciences,Scholarship,8816.0,2015-11-22,Spanish,1532,MI,2015,November,4,Sunday,Yes,VIP
College of Arts and Sciences,Detroit,College of Arts and Sciences,Scholarship,8816.0,2015-02-04,Spanish,1532,MI,2015,February,1,Wednesday,No,VIP
College of Education,Little Rock,College of Arts and Sciences,Scholarship,5158.0,2015-02-16,Arabic,1533,AR,2015,February,1,Monday,No,VIP
College of Agriculture and Natural Resources,Little Rock,College of Arts and Sciences,Scholarship,5158.0,2015-05-01,Arabic,1533,AR,2015,May,2,Friday,No,VIP
Trustees Fund,Indianapolis,College of Natural Science,Endowment,5453.0,2015-07-10,Human Biology,1534,IN,2015,July,3,Friday,No,VIP
College of Arts and Sciences,Indianapolis,College of Natural Science,Scholarship,5453.0,2015-05-22,Human Biology,1534,IN,2015,May,2,Friday,No,VIP
Trustees Fund,El Paso,College of Natural Science,Endowment,9145.0,2015-09-09,Earth Science Interdepartmental,1535,TX,2015,September,3,Wednesday,No,VIP
College of Agriculture and Natural Resources,El Paso,College of Natural Science,Scholarship,9145.0,2015-11-07,Earth Science Interdepartmental,1535,TX,2015,November,4,Saturday,Yes,VIP
College of Agriculture and Natural Resources,New Orleans,College of Business,Scholarship,7610.0,2015-08-07,General Management,1536,LA,2015,August,3,Friday,No,VIP
Faculty Chair Endowments,New Orleans,College of Business,Endowment,7610.0,2015-03-27,General Management,1536,LA,2015,March,1,Friday,No,VIP
Campus Museums,Tulsa,College of Business,Campus Resource,5901.0,2015-04-05,Supply Chain Management,1537,OK,2015,April,2,Sunday,Yes,VIP
College of Arts and Sciences,Tulsa,College of Business,Scholarship,5901.0,2015-02-21,Supply Chain Management,1537,OK,2015,February,1,Saturday,Yes,VIP
University Annual Fund,Colorado Springs,College of Engineering,Endowment,995.0,2015-09-11,Electrical Engineering,1538,CO,2015,September,3,Friday,No,Large
Trustees Fund,Colorado Springs,College of Engineering,Endowment,995.0,2015-10-04,Electrical Engineering,1538,CO,2015,October,4,Sunday,Yes,Large
Trustees Fund,Fresno,College of Agriculture and Natural Resources,Endowment,2300.0,2015-05-03,Natural Resource Recreation and Tourism,1539,CA,2015,May,2,Sunday,Yes,Premium
College of Arts and Sciences,Fresno,College of Agriculture and Natural Resources,Scholarship,2300.0,2015-04-09,Natural Resource Recreation and Tourism,1539,CA,2015,April,2,Thursday,No,Premium
Trustees Fund,Cincinnati,College of Arts and Sciences,Endowment,6997.0,2015-12-04,Global Studies in the Arts and Humanities,1540,OH,2015,December,4,Friday,No,VIP
College of Natural Science,Cincinnati,College of Arts and Sciences,Scholarship,6997.0,2015-12-19,Global Studies in the Arts and Humanities,1540,OH,2015,December,4,Saturday,Yes,VIP
Trustees Fund,Hartford,College of Natural Science,Endowment,9600.0,2015-11-10,Astrophysics,1541,CT,2015,November,4,Tuesday,No,VIP
College of Business,Hartford,College of Natural Science,Scholarship,9600.0,2015-03-20,Astrophysics,1541,CT,2015,March,1,Friday,No,VIP
Trustees Fund,Memphis,College of Social Science,Endowment,7944.0,2015-08-14,Psychology,1542,TN,2015,August,3,Friday,No,VIP
Diversity Fund,Memphis,College of Social Science,Endowment,7944.0,2015-07-08,Psychology,1542,TN,2015,July,3,Wednesday,No,VIP
Diversity Fund,Raleigh,College of Education,Endowment,83.0,2015-06-04,Kinesiology,1543,NC,2015,June,2,Thursday,No,Small
Honors Program,Raleigh,College of Education,Campus Resource,83.0,2015-12-22,Kinesiology,1543,NC,2015,December,4,Tuesday,No,Small
College of Engineering,San Francisco,College of Social Science,Scholarship,2245.0,2015-04-19,Geographic Information Science,1544,CA,2015,April,2,Sunday,Yes,Premium
Honors Program,San Francisco,College of Social Science,Campus Resource,2245.0,2015-04-04,Geographic Information Science,1544,CA,2015,April,2,Saturday,Yes,Premium
College of Natural Science,Phoenix,College of Arts and Sciences,Scholarship,7821.0,2015-10-27,Interdisciplinary Humanities,1545,AZ,2015,October,4,Tuesday,No,VIP
College of Social Science,Phoenix,College of Arts and Sciences,Scholarship,7821.0,2015-04-04,Interdisciplinary Humanities,1545,AZ,2015,April,2,Saturday,Yes,VIP
College of Natural Science,Phoenix,College of Agriculture and Natural Resources,Scholarship,167.0,2015-03-21,Landscape Architecture,1546,AZ,2015,March,1,Saturday,Yes,Medium
College of Agriculture and Natural Resources,Phoenix,College of Agriculture and Natural Resources,Scholarship,167.0,2015-05-21,Landscape Architecture,1546,AZ,2015,May,2,Thursday,No,Medium
College of Agriculture and Natural Resources,Denver,College of Agriculture and Natural Resources,Scholarship,10906.5,2015-07-21,Environmental Studies and Agriscience,1547,CO,2015,July,3,Tuesday,No,VIP
Faculty Chair Endowments,Denver,College of Agriculture and Natural Resources,Endowment,10906.5,2015-08-06,Environmental Studies and Agriscience,1547,CO,2015,August,3,Thursday,No,VIP
Trustees Fund,Seattle,College of Natural Science,Endowment,1797.0,2015-01-10,Microbiology,1548,WA,2015,January,1,Saturday,Yes,Premium
College of Agriculture and Natural Resources,Seattle,College of Natural Science,Scholarship,1797.0,2015-04-13,Microbiology,1548,WA,2015,April,2,Monday,No,Premium
Faculty Chair Endowments,Orlando,College of Business,Endowment,8323.0,2015-01-25,Finance,1549,FL,2015,January,1,Sunday,Yes,VIP
College of Nursing,Orlando,College of Business,Scholarship,8323.0,2015-03-23,Finance,1549,FL,2015,March,1,Monday,No,VIP
College of Social Science,Alexandria,College of Communication Arts and Sciences,Scholarship,2402.0,2015-02-26,Media and Information,1550,VA,2015,February,1,Thursday,No,Premium
Parents Association,Alexandria,College of Communication Arts and Sciences,Campus Resource,2402.0,2015-02-18,Media and Information,1550,VA,2015,February,1,Wednesday,No,Premium
Honors Program,Austin,College of Arts and Sciences,Campus Resource,3404.0,2015-12-24,Humanities-Prelaw,1551,TX,2015,December,4,Thursday,No,Premium
In-State Scholarship Fund,Austin,College of Arts and Sciences,Scholarship,3404.0,2015-05-17,Humanities-Prelaw,1551,TX,2015,May,2,Sunday,Yes,Premium
Alumni Association,San Francisco,College of Social Science,Campus Resource,7931.0,2015-11-30,Geographic Information Science,1552,CA,2015,November,4,Monday,No,VIP
College of Agriculture and Natural Resources,San Francisco,College of Social Science,Scholarship,7931.0,2015-09-06,Geographic Information Science,1552,CA,2015,September,3,Sunday,Yes,VIP
Trustees Fund,Seattle,College of Social Science,Endowment,5245.0,2015-04-21,History,1553,WA,2015,April,2,Tuesday,No,VIP
Trustees Fund,Seattle,College of Social Science,Endowment,5245.0,2015-02-06,History,1553,WA,2015,February,1,Friday,No,VIP
Honors Program,Atlanta,College of Agriculture and Natural Resources,Campus Resource,6400.0,2015-08-18,Agriculture and Natural Resources-No Preference,1554,GA,2015,August,3,Tuesday,No,VIP
Parents Association,Atlanta,College of Agriculture and Natural Resources,Campus Resource,6400.0,2015-01-19,Agriculture and Natural Resources-No Preference,1554,GA,2015,January,1,Monday,No,VIP
Diversity Fund,Hartford,College of Political Science,Endowment,5163.0,2015-05-27,Comparative Cultures and Politics,1555,CT,2015,May,2,Wednesday,No,VIP
College of Natural Science,Hartford,College of Political Science,Scholarship,5163.0,2015-12-15,Comparative Cultures and Politics,1555,CT,2015,December,4,Tuesday,No,VIP
Faculty Chair Endowments,Dallas,College of Social Science,Endowment,9332.0,2015-01-28,Political Science,1556,TX,2015,January,1,Wednesday,No,VIP
University Annual Fund,Dallas,College of Social Science,Endowment,9332.0,2015-08-31,Political Science,1556,TX,2015,August,3,Monday,No,VIP
Alumni Association,San Francisco,College of Arts and Sciences,Campus Resource,7976.0,2015-04-29,Spanish,1557,CA,2015,April,2,Wednesday,No,VIP
Diversity Fund,San Francisco,College of Arts and Sciences,Endowment,7976.0,2015-09-30,Spanish,1557,CA,2015,September,3,Wednesday,No,VIP
Athletics,Mobile,College of Business,Campus Resource,8426.0,2015-08-28,Marketing,1558,AL,2015,August,3,Friday,No,VIP
College of Natural Science,Mobile,College of Business,Scholarship,8426.0,2015-06-26,Marketing,1558,AL,2015,June,2,Friday,No,VIP
Diversity Fund,Los Angeles,College of Business,Endowment,5782.0,2015-04-27,General Management,1559,CA,2015,April,2,Monday,No,VIP
Campus Recreation,Los Angeles,College of Business,Campus Resource,5782.0,2015-01-08,General Management,1559,CA,2015,January,1,Thursday,No,VIP
College of Social Science,Boston,College of Arts and Sciences,Scholarship,6248.0,2015-08-15,Linguistics,1560,MA,2015,August,3,Saturday,Yes,VIP
College of Social Science,Boston,College of Arts and Sciences,Scholarship,6248.0,2015-12-14,Linguistics,1560,MA,2015,December,4,Monday,No,VIP
College of Natural Science,Dallas,College of Social Science,Scholarship,1824.0,2015-06-21,Criminal Justice,1561,TX,2015,June,2,Sunday,Yes,Premium
Trustees Fund,Dallas,College of Social Science,Endowment,1824.0,2015-07-22,Criminal Justice,1561,TX,2015,July,3,Wednesday,No,Premium
College of Music,Washington,College of Nursing,Scholarship,5240.0,2015-02-07,Summer Research Program,1562,DC,2015,February,1,Saturday,Yes,VIP
University Annual Fund,Washington,College of Nursing,Endowment,5240.0,2015-07-10,Summer Research Program,1562,DC,2015,July,3,Friday,No,VIP
Diversity Fund,Boston,College of Arts and Sciences,Endowment,5475.0,2015-12-01,Professional Writing,1563,MA,2015,December,4,Tuesday,No,VIP
College of Arts and Sciences,Boston,College of Arts and Sciences,Scholarship,5475.0,2015-06-22,Professional Writing,1563,MA,2015,June,2,Monday,No,VIP
College of Natural Science,Las Vegas,College of Agriculture and Natural Resources,Scholarship,6246.0,2015-08-08,Landscape Architecture,1564,NV,2015,August,3,Saturday,Yes,VIP
Diversity Fund,Las Vegas,College of Agriculture and Natural Resources,Endowment,6246.0,2015-09-28,Landscape Architecture,1564,NV,2015,September,3,Monday,No,VIP
University Annual Fund,Amarillo,College of Arts and Sciences,Endowment,1634.0,2015-06-13,Experience Architecture,1565,TX,2015,June,2,Saturday,Yes,Premium
Minority Scholarship Fund,Amarillo,College of Arts and Sciences,Scholarship,1634.0,2015-03-09,Experience Architecture,1565,TX,2015,March,1,Monday,No,Premium
College of Engineering,Detroit,College of Agriculture and Natural Resources,Scholarship,6345.0,2015-11-28,Fisheries and Wildlife,1566,MI,2015,November,4,Saturday,Yes,VIP
Faculty Chair Endowments,Detroit,College of Agriculture and Natural Resources,Endowment,6345.0,2015-12-17,Fisheries and Wildlife,1566,MI,2015,December,4,Thursday,No,VIP
In-State Scholarship Fund,Overland Park,College of Veterinary Medicine,Scholarship,1848.0,2015-01-31,Preveterinary,1567,KS,2015,January,1,Saturday,Yes,Premium
College of Arts and Sciences,Overland Park,College of Veterinary Medicine,Scholarship,1848.0,2015-09-30,Preveterinary,1567,KS,2015,September,3,Wednesday,No,Premium
Trustees Fund,Detroit,College of Nursing,Endowment,8298.0,2015-07-12,Summer Research Program,1568,MI,2015,July,3,Sunday,Yes,VIP
University Annual Fund,Detroit,College of Nursing,Endowment,8298.0,2015-01-29,Summer Research Program,1568,MI,2015,January,1,Thursday,No,VIP
Trustees Fund,Miami,College of Social Science,Endowment,7362.0,2015-11-09,Sociology,1569,FL,2015,November,4,Monday,No,VIP
University Libraries,Miami,College of Social Science,Campus Resource,7362.0,2015-01-10,Sociology,1569,FL,2015,January,1,Saturday,Yes,VIP
College of Engineering,Seattle,College of Engineering,Scholarship,3403.0,2015-11-22,Engineering-No Major,1570,WA,2015,November,4,Sunday,Yes,Premium
Honors Program,Seattle,College of Engineering,Campus Resource,3403.0,2015-10-10,Engineering-No Major,1570,WA,2015,October,4,Saturday,Yes,Premium
College of Agriculture and Natural Resources,Orlando,College of Engineering,Scholarship,3677.0,2015-04-06,Engineering-No Major,1571,FL,2015,April,2,Monday,No,Premium
College of Agriculture and Natural Resources,Orlando,College of Engineering,Scholarship,3677.0,2015-10-11,Engineering-No Major,1571,FL,2015,October,4,Sunday,Yes,Premium
In-State Scholarship Fund,Tucson,College of Communication Arts and Sciences,Scholarship,3865.0,2015-07-28,Media and Information,1572,AZ,2015,July,3,Tuesday,No,Premium
Faculty Chair Endowments,Tucson,College of Communication Arts and Sciences,Endowment,3865.0,2015-02-07,Media and Information,1572,AZ,2015,February,1,Saturday,Yes,Premium
Trustees Fund,Los Angeles,College of Agriculture and Natural Resources,Endowment,1624.0,2015-08-10,Landscape Architecture,1573,CA,2015,August,3,Monday,No,Premium
University Annual Fund,Los Angeles,College of Agriculture and Natural Resources,Endowment,1624.0,2015-10-31,Landscape Architecture,1573,CA,2015,October,4,Saturday,Yes,Premium
College of Agriculture and Natural Resources,Phoenix,College of Arts and Sciences,Scholarship,960.0,2015-04-16,Philosophy,1574,AZ,2015,April,2,Thursday,No,Large
College of Agriculture and Natural Resources,Phoenix,College of Arts and Sciences,Scholarship,960.0,2015-08-25,Philosophy,1574,AZ,2015,August,3,Tuesday,No,Large
College of Natural Science,Chicago,College of Agriculture and Natural Resources,Scholarship,3230.0,2015-12-30,Food Industry Management,1575,IL,2015,December,4,Wednesday,No,Premium
College of Natural Science,Chicago,College of Agriculture and Natural Resources,Scholarship,3230.0,2015-10-12,Food Industry Management,1575,IL,2015,October,4,Monday,No,Premium
Trustees Fund,Phoenix,College of Business,Endowment,2679.0,2011-07-15,Finance,1576,AZ,2011,July,3,Friday,No,Premium
Campus Museums,Phoenix,College of Business,Campus Resource,2679.0,2015-10-25,Finance,1576,AZ,2015,October,4,Sunday,Yes,Premium
College of Social Science,Louisville,College of Social Science,Scholarship,6812.0,2010-02-16,Urban and Regional Planning,1577,KY,2010,February,1,Tuesday,No,VIP
Faculty Chair Endowments,Louisville,College of Social Science,Endowment,6812.0,2015-02-10,Urban and Regional Planning,1577,KY,2015,February,1,Tuesday,No,VIP
Minority Scholarship Fund,Tallahassee,College of Business,Scholarship,7746.0,2011-11-07,General Management,1578,FL,2011,November,4,Monday,No,VIP
University Annual Fund,Tallahassee,College of Business,Endowment,7746.0,2015-02-26,General Management,1578,FL,2015,February,1,Thursday,No,VIP
University Libraries,Nashville,College of Education,Campus Resource,6378.0,2010-04-28,Education,1579,TN,2010,April,2,Wednesday,No,VIP
In-State Scholarship Fund,Nashville,College of Education,Scholarship,6378.0,2015-06-17,Education,1579,TN,2015,June,2,Wednesday,No,VIP
Athletics,Miami,College of Arts and Sciences,Campus Resource,5494.0,2011-05-01,English,1580,FL,2011,May,2,Sunday,Yes,VIP
College of Arts and Sciences,Miami,College of Arts and Sciences,Scholarship,5494.0,2015-12-06,English,1580,FL,2015,December,4,Sunday,Yes,VIP
